-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-72,000
-18,796
37,270
87,662
124,708
142,768
139,093
114,243
72,000
18,796
-37,270
-87,662
-124,708
-142,768
-139,093
-114,243
-72,000
-18,796
37,270
87,662
124,708
142,768
139,093
114,243
72,000
18,796
-37,270
-87,662
-124,708
-142,768
-139,093
-114,243
-72,000
-18,796
37,270
87,662
124,708
142,768
139,093
114,243
72,000
18,796
-37,270
-87,662
-124,708
-142,768
-139,093
-114,243
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-99,000
-25,844
51,246
120,535
171,473
196,306
191,253
157,084
99,000
25,844
-51,246
-120,535
-171,473
-196,306
-191,253
-157,084
-99,000
-25,844
51,246
120,535
171,473
196,306
191,253
157,084
99,000
25,844
-51,246
-120,535
-171,473
-196,306
-191,253
-157,084
-99,000
-25,844
51,246
120,535
171,473
196,306
191,253
157,084
99,000
25,844
-51,246
-120,535
-171,473
-196,306
-191,253
-157,084
-99,000
-25,844
51,246
120,535
171,473
196,306
191,253
157,084
99,000
25,844
-51,246
-120,535
-171,473
-196,306
-191,253
-157,084
-81,000
-21,145
41,929
98,619
140,296
160,614
156,480
128,523
81,000
21,145
-41,929
-98,619
-140,296
-160,614
-156,480
-128,523
-81,000
-21,145
41,929
98,619
140,296
160,614
156,480
128,523
81,000
21,145
-41,929
-98,619
-140,296
-160,614
-156,480
-128,523
-81,000
-21,145
41,929
98,619
140,296
160,614
156,480
128,523
81,000
21,145
-41,929
-98,619
-140,296
-160,614
-156,480
-128,523
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
-90,000
-23,495
46,587
109,577
155,885
178,460
173,867
142,804
90,000
23,495
-46,587
-109,577
-155,885
-178,460
-173,867
-142,804
167,398
