180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
162,000
149,668
114,551
61,995
 0,000
-61,995
-114,551
-149,668
-162,000
-149,668
-114,551
-61,995
-0,000
61,995
114,551
149,668
162,000
149,668
114,551
61,995
 0,000
-61,995
-114,551
-149,668
-162,000
-149,668
-114,551
-61,995
-0,000
61,995
114,551
149,668
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
180,000
166,298
127,279
68,883
-0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
144,000
133,039
101,823
55,106
 0,000
-55,106
-101,823
-133,039
-144,000
-133,039
-101,823
-55,106
-0,000
55,106
101,823
133,039
144,000
133,039
101,823
55,106
 0,000
-55,106
-101,823
-133,039
-144,000
-133,039
-101,823
-55,106
-0,000
55,106
101,823
133,039
144,000
133,039
101,823
55,106
 0,000
-55,106
-101,823
-133,039
-144,000
-133,039
-101,823
-55,106
-0,000
55,106
101,823
133,039
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
198,000
182,928
140,007
75,771
 0,000
-75,771
-140,007
-182,928
-198,000
-182,928
-140,007
-75,771
-0,000
75,771
140,007
182,928
198,000
182,928
140,007
75,771
 0,000
-75,771
-140,007
-182,928
-198,000
-182,928
-140,007
-75,771
-0,000
75,771
140,007
182,928
198,000
182,928
140,007
75,771
 0,000
-75,771
-140,007
-182,928
-198,000
-182,928
-140,007
-75,771
-0,000
75,771
140,007
182,928
198,000
182,928
140,007
75,771
 0,000
-75,771
-140,007
-182,928
-198,000
-182,928
-140,007
-75,771
-0,000
75,771
140,007
182,928
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
180,000
166,298
127,279
68,883
 0,000
-68,883
-127,279
-166,298
-180,000
-166,298
-127,279
-68,883
-0,000
68,883
127,279
166,298
